Age;Gender;Period;Unemployed
15 to 24 years;Both sexes;2005-10-09;7,7
15 to 24 years;Both sexes;2005-10-10;8,9
15 years and over;Females;2005-10-11;4,7
15 to 24 years;Males;2005-10-12;9,6
15 years and over;Males;2005-10-13;4,2
15 to 24 years;Females;2005-10-14;8,3
15 years and over;Both sexes;2005-10-15;4,4
15 years and over;Both sexes;2005-10-16;4,9
15 to 24 years;Females;2005-10-17;8,1
15 years and over;Males;2005-10-18;4,8
15 to 24 years;Males;2005-10-19;10,7
15 years and over;Females;2005-10-20;5
15 to 24 years;Both sexes;2005-10-21;9,5
15 to 24 years;Both sexes;2005-10-22;10,6
15 years and over;Females;2005-10-23;4,8
15 to 24 years;Males;2005-10-24;11,7
15 years and over;Males;2005-10-25;5,9
15 to 24 years;Females;2005-10-26;9,3
15 years and over;Both sexes;2005-10-27;5,4
15 years and over;Both sexes;2005-10-28;5,9
15 to 24 years;Females;2005-10-29;9,5
15 years and over;Males;2005-10-30;6,6
15 to 24 years;Males;2005-10-31;13,1
15 years and over;Females;2005-11-01;5,1
15 to 24 years;Both sexes;2005-11-02;11,4
15 to 24 years;Both sexes;2005-11-03;10,9
15 years and over;Females;2005-11-04;5,2
15 to 24 years;Males;2005-11-05;12,4
15 years and over;Males;2005-11-06;6,9
15 to 24 years;Females;2005-11-07;9,2
15 years and over;Both sexes;2005-11-08;6,1
15 years and over;Both sexes;2005-11-09;7
15 to 24 years;Females;2005-11-10;8,3
15 years and over;Males;2005-11-11;8,1
15 to 24 years;Males;2005-11-12;16,6
15 years and over;Females;2005-11-13;5,5
15 to 24 years;Both sexes;2005-11-14;12,7
15 to 24 years;Both sexes;2005-11-15;12,4
15 years and over;Females;2005-11-16;6,1
15 to 24 years;Males;2005-11-17;14,9
15 years and over;Males;2005-11-18;7,3
15 to 24 years;Females;2005-11-19;9,5
15 years and over;Both sexes;2005-11-20;6,8
15 years and over;Both sexes;2005-11-21;7,1
15 to 24 years;Females;2005-11-22;10,7
15 years and over;Males;2005-11-23;7,8
15 to 24 years;Males;2005-11-24;15,8
15 years and over;Females;2005-11-25;6,2
15 to 24 years;Both sexes;2005-11-26;13,4
15 to 24 years;Both sexes;2005-11-27;14,4
15 years and over;Females;2005-11-28;6,3
15 to 24 years;Males;2005-11-29;16,6
15 years and over;Males;2005-11-30;8,1
15 to 24 years;Females;2005-12-01;11,9
15 years and over;Both sexes;2005-12-02;7,3
15 years and over;Both sexes;2005-12-03;6,8
15 to 24 years;Females;2005-12-04;12,2
15 years and over;Males;2005-12-05;7,4
15 to 24 years;Males;2005-12-06;13,5
15 years and over;Females;2005-12-07;6
15 to 24 years;Both sexes;2005-12-08;12,9
15 to 24 years;Both sexes;2005-12-09;12,6
15 years and over;Females;2005-12-10;6,4
15 to 24 years;Males;2005-12-11;14,8
15 years and over;Males;2005-12-12;7,8
15 to 24 years;Females;2005-12-13;10,4
15 years and over;Both sexes;2005-12-14;7,2
15 years and over;Both sexes;2005-12-15;7,3
15 to 24 years;Females;2005-12-16;11,4
15 years and over;Males;2005-12-17;7,9
15 to 24 years;Males;2005-12-18;14,5
15 years and over;Females;2005-12-19;6,6
15 to 24 years;Both sexes;2005-12-20;13,1
15 to 24 years;Both sexes;2005-12-21;12,4
15 years and over;Females;2005-12-22;6,1
15 to 24 years;Males;2005-12-23;14,1
15 years and over;Males;2005-12-24;7
15 to 24 years;Females;2005-12-25;10,6
15 years and over;Both sexes;2005-12-26;6,6
15 years and over;Both sexes;2005-12-27;6,6
15 to 24 years;Females;2005-12-28;10,1
15 years and over;Males;2005-12-29;6,9
15 to 24 years;Males;2005-12-30;12,4
15 years and over;Females;2005-12-31;6,3
15 to 24 years;Both sexes;2006-01-01;11,2
15 to 24 years;Both sexes;2006-01-02;10,7
15 years and over;Females;2006-01-03;6,8
15 to 24 years;Males;2006-01-04;11,1
15 years and over;Males;2006-01-05;6,7
15 to 24 years;Females;2006-01-06;10,3
15 years and over;Both sexes;2006-01-07;6,8
15 years and over;Both sexes;2006-01-08;7,2
15 to 24 years;Females;2006-01-09;11
15 years and over;Males;2006-01-10;7,2
15 to 24 years;Males;2006-01-11;14,7
15 years and over;Females;2006-01-12;7,2
15 to 24 years;Both sexes;2006-01-13;12,9
15 to 24 years;Both sexes;2006-01-14;11,5
15 years and over;Females;2006-01-15;7,2
15 to 24 years;Males;2006-01-16;13,4
15 years and over;Males;2006-01-17;7,1
15 to 24 years;Females;2006-01-18;9,6
15 years and over;Both sexes;2006-01-19;7,2
15 years and over;Both sexes;2006-01-20;6,6
15 to 24 years;Females;2006-01-21;10,1
15 years and over;Males;2006-01-22;6,9
15 to 24 years;Males;2006-01-23;13
15 years and over;Females;2006-01-24;6,2
15 to 24 years;Both sexes;2006-01-25;11,6
15 to 24 years;Both sexes;2006-01-26;11,3
15 years and over;Females;2006-01-27;6,3
15 to 24 years;Males;2006-01-28;12,5
15 years and over;Males;2006-01-29;6,9
15 to 24 years;Females;2006-01-30;10
15 years and over;Both sexes;2006-01-31;6,6
15 years and over;Both sexes;2006-02-01;6,6
